Дата,Максимальная,Минимальная,Средняя,Атмосферное,Скорость ветра,Осадки,Эффективная
01.01.19,-7,-22,-17,,3,1,-22.3
02.01.19,-4,-17,-6,,6,1,-12.0
03.01.19,-6,-9,-7,,5,1,-12.9
04.01.19,-7,-10,-9,,5,4,-14.4
05.01.19,-5,-11,-8,,5,14,-13.9
06.01.19,-6,-17,-9,,4,3,-14.5
07.01.19,-13,-24,-18,,3,0,-23.0
08.01.19,-17,-27,-21,,3,0,-26.2
09.01.19,-11,-25,-18,,2,0,-22.4
10.01.19,-8,-13,-10,,3,1,-14.2
11.01.19,-11,-13,-12,,4,0,-17.6
12.01.19,1,-12,-3,,6,13,-9.1
13.01.19,-5,-13,-8,,5,6,-13.8
14.01.19,-8,-15,-11,,4,0,-15.8
15.01.19,-1,-9,-5,,6,6,-10.6
16.01.19,-1,-4,-3,,9,1,-10.6
17.01.19,-1,-12,-7,,3,2,-11.4
18.01.19,-5,-13,-9,,6,0,-15.0
19.01.19,-1,-7,-3,,4,0,-7.1
20.01.19,-2,-14,-9,,3,5,-13.3
21.01.19,-9,-17,-12,,6,2,-18.2
22.01.19,-9,-18,-13,,3,6,-17.5
23.01.19,-15,-25,-20,,2,0,-24.9
24.01.19,-11,-26,-20,,4,2,-25.5
25.01.19,-11,-21,-16,,3,16,-20.9
26.01.19,-15,-25,-21,,2,0,-25.8
27.01.19,-12,-26,-17,,6,0,-23.8
28.01.19,-10,-16,-12,,5,0,-18.0
29.01.19,-9,-13,-10,,3,1,-14.5
30.01.19,-6,-16,-11,,2,0,-15.5
31.01.19,-6,-16,-9,,3,0,-13.9
01.02.19,-6,-17,-11,,3,0,-15.3
02.02.19,-10,-19,-15,,2,0,-19.5
03.02.19,-9,-14,-12,,2,0,-15.5
04.02.19,-4,-15,-7,,3,2,-11.6
05.02.19,-10,-16,-13,,6,6,-20.0
06.02.19,-11,-14,-12,,4,1,-17.3
07.02.19,-6,-12,-8,,6,7,-14.5
08.02.19,-4,-12,-7,,4,2,-11.9
09.02.19,-5,-12,-8,,4,0,-13.4
10.02.19,-7,-16,-10,,4,0,-15.1
11.02.19,-8,-18,-13,,3,0,-18.0
12.02.19,-6,-19,-14,,3,0,-19.0
13.02.19,-9,-19,-12,,6,0,-19.1
14.02.19,-3,-12,-7,,3,6,-11.1
15.02.19,-3,-8,-5,,5,0,-10.7
16.02.19,4,-6,0,,4,6,-4.1
17.02.19,1,-6,-2,,5,0,-6.8
18.02.19,0,-9,-3,,11,6,-12.2
19.02.19,-7,-13,-11,,9,1,-19.6
20.02.19,-2,-11,-4,,5,0,-9.9
21.02.19,0,-5,-3,,6,6,-9.2
22.02.19,0,-10,-4,,4,4,-8.9
23.02.19,-6,-14,-9,,4,1,-14.4
24.02.19,-8,-16,-11,,3,0,-15.9
25.02.19,-7,-12,-9,,5,0,-14.6
26.02.19,-5,-9,-7,,4,1,-11.5
27.02.19,-3,-7,-6,,3,1,-9.7
28.02.19,-1,-6,-3,,6,1,-8.7
01.03.19,0,-2,-1,,6,5,-6.7
02.03.19,1,-9,-3,,6,11,-8.9
03.03.19,-4,-12,-8,,6,0,-14.9
04.03.19,-1,-8,-5,,4,3,-9.6
05.03.19,1,-6,-3,,5,0,-7.8
06.03.19,4,-5,2,,8,1,-4.5
07.03.19,-3,-14,-7,,5,0,-13.2
08.03.19,-4,-12,-7,,6,0,-13.6
09.03.19,2,-8,-2,,10,7,-9.8
10.03.19,3,-2,1,,4,1,-2.9
11.03.19,2,0,2,,5,14,-3.0
12.03.19,3,-2,1,,5,6,-4.0
13.03.19,2,-3,-1,,2,0,-4.2
14.03.19,2,-7,-3,,4,5,-7.5
15.03.19,1,-12,-4,,2,0,-7.5
16.03.19,0,-8,-3,,5,0,-8.6
17.03.19,1,-3,-1,,4,0,-5.3
18.03.19,5,-5,0,,2,2,-3.4
19.03.19,8,-7,0,,2,0,-3.5
20.03.19,7,-6,1,,3,0,-2.4
21.03.19,4,-3,1,,1,0,-1.5
22.03.19,2,-1,0,,2,1,-2.5
23.03.19,3,-3,0,,3,10,-3.3
24.03.19,2,-4,0,,4,0,-4.7
25.03.19,1,0,0,,7,8,-5.7
26.03.19,6,-4,2,,6,2,-4.0
27.03.19,5,1,2,,5,12,-2.5
28.03.19,5,-1,2,,4,2,-2.6
29.03.19,4,-4,0,,4,4,-4.7
30.03.19,2,-5,0,,7,0,-6.8
31.03.19,8,0,4,,5,0,-0.5
01.04.19,9,1,5,,5,0,0.8
02.04.19,6,1,2,,5,0,-2.3
03.04.19,5,1,2,,9,4,-5.2
04.04.19,6,1,3,,4,0,-1.3
05.04.19,6,0,3,,3,1,-0.2
06.04.19,7,1,4,,3,3,1.5
07.04.19,7,4,5,,4,23,1.9
08.04.19,8,3,6,,3,0,2.7
09.04.19,14,1,8,,2,0,6.0
10.04.19,18,3,12,,3,0,8.9
11.04.19,21,5,14,,3,0,10.8
12.04.19,20,6,14,,2,0,11.9
13.04.19,21,2,12,,5,0,7.7
14.04.19,12,0,6,,6,0,0.7
15.04.19,12,-1,5,,4,0,1.0
16.04.19,12,-2,6,,6,0,0.3
17.04.19,5,-4,0,,6,0,-6.3
18.04.19,7,-5,1,,3,0,-2.8
19.04.19,10,-4,4,,3,0,-0.1
20.04.19,13,-2,7,,2,0,4.1
21.04.19,15,1,9,,3,0,5.2
22.04.19,17,2,11,,3,0,7.6
23.04.19,17,2,10,,5,0,5.8
24.04.19,19,3,12,,4,0,8.9
25.04.19,22,5,16,,4,0,12.8
26.04.19,18,5,12,,4,0,8.2
27.04.19,22,2,14,,3,0,11.3
28.04.19,21,0,9,,6,3,4.0
29.04.19,7,-2,2,,5,1,-2.9
30.04.19,10,-3,5,,3,0,1.1
01.05.19,14,1,9,,4,0,4.6
02.05.19,15,2,10,,9,0,3.3
03.05.19,18,10,13,,4,12,10.5
04.05.19,21,11,16,,4,6,13.1
05.05.19,22,10,16,,3,0,13.9
06.05.19,26,12,18,,5,2,15.6
07.05.19,21,12,17,,4,5,14.7
08.05.19,26,11,20,,3,0,18.6
09.05.19,28,14,22,,3,0,20.7
10.05.19,30,14,23,,4,0,21.6
11.05.19,32,17,25,,4,0,23.4
12.05.19,32,18,24,,3,0,23.1
13.05.19,30,14,22,,2,0,21.5
14.05.19,31,13,23,,3,,21.5
15.05.19,28,16,21,,2,1,21.6
20.05.19,11,3,8,,5,0,3.5
21.05.19,17,3,12,,4,0,7.9
22.05.19,16,7,12,,3,,9.7
23.05.19,25,10,19,,6,0,15.2
24.05.19,15,4,10,,5,,6.2
25.05.19,15,1,10,,2,0,7.6
26.05.19,24,5,17,,5,,13.7
27.05.19,25,13,20,,6,,17.0
28.05.19,25,12,20,,3,0,18.4
29.05.19,28,13,22,,3,0,21.1
30.05.19,31,16,25,,2,0,24.7
31.05.19,31,18,26,,3,0,25.2
01.06.19,30,17,23,,4,,22.3
02.06.19,25,15,21,,3,0,19.5
03.06.19,27,11,20,,5,,17.9
04.06.19,20,10,15,,6,0,10.9
05.06.19,25,9,19,,5,0,15.9
06.06.19,28,14,22,,6,0,19.1
07.06.19,23,13,19,,6,0,14.6
08.06.19,25,11,19,,5,0,16.5
09.06.19,26,9,19,,3,0,17.7
10.06.19,30,13,23,,2,0,22.7
11.06.19,32,16,25,,3,0,24.6
12.06.19,29,16,23,,5,,20.9
13.06.19,18,8,14,,7,,8.6
14.06.19,19,7,14,,3,,11.6
15.06.19,19,9,14,,3,0,12.1
16.06.19,21,11,17,,2,0,15.2
17.06.19,25,10,20,,4,0,17.4
18.06.19,27,16,22,,3,0,20.4
19.06.19,24,14,20,,2,,20.0
20.06.19,29,13,22,,3,0,21.6
21.06.19,30,14,24,,3,0,23.3
22.06.19,31,16,26,,3,0,24.9
23.06.19,33,19,28,,3,0,27.1
24.06.19,33,17,23,,3,,23.5
25.06.19,25,14,21,,5,0,17.8
26.06.19,22,12,18,,4,0,15.2
27.06.19,17,11,14,,2,1,13.2
28.06.19,25,11,19,,5,,17.0
29.06.19,27,14,22,,5,0,19.6
30.06.19,19,12,16,,2,,14.9
01.07.19,23,11,18,,2,0,16.7
02.07.19,26,12,20,,3,0,19.0
03.07.19,27,16,22,,4,0,20.5
04.07.19,26,14,21,,3,0,19.7
05.07.19,22,11,17,,3,0,15.0
06.07.19,25,11,20,,4,,17.9
07.07.19,23,15,19,,3,,17.1
08.07.19,23,14,19,,2,,18.5
09.07.19,27,16,22,,6,,20.1
10.07.19,25,15,21,,5,0,17.9
11.07.19,26,13,20,,4,,18.3
12.07.19,21,14,17,,4,,16.0
13.07.19,22,15,18,,4,,16.8
14.07.19,26,15,20,,2,,20.1
15.07.19,22,14,18,,3,,17.6
16.07.19,26,13,21,,2,0,20.5
17.07.19,22,16,19,,4,,17.9
18.07.19,30,17,23,,3,0,23.0
19.07.19,28,17,23,,3,0,22.7
20.07.19,28,15,23,,3,0,21.7
21.07.19,28,16,23,,3,0,21.6
22.07.19,25,14,20,,3,,19.2
23.07.19,25,13,19,,3,0,18.3
24.07.19,27,14,21,,1,0,21.4
25.07.19,29,15,23,,3,0,22.5
26.07.19,30,18,25,,4,0,23.3
27.07.19,29,15,23,,3,0,21.7
28.07.19,25,14,20,,5,0,17.6
29.07.19,18,8,14,,4,1,11.3
30.07.19,19,8,14,,3,0,11.9
31.07.19,19,10,14,,4,,11.0
01.08.19,16,10,12,,5,,9.2
02.08.19,18,12,14,,4,,12.1
03.08.19,19,11,15,,2,0,14.3
04.08.19,23,12,18,,3,,16.2
05.08.19,23,10,15,,6,,12.2
06.08.19,15,10,13,,3,,10.8
07.08.19,20,11,16,,3,,14.3
08.08.19,23,14,18,,2,,18.2
09.08.19,27,16,21,,5,,19.6
10.08.19,26,15,20,,2,,20.1
11.08.19,20,14,17,,2,,16.7
12.08.19,15,11,13,,8,,7.6
13.08.19,18,9,14,,7,0,9.8
14.08.19,23,12,17,,3,0,16.1
15.08.19,26,11,19,,1,0,19.5
16.08.19,29,16,23,,2,0,23.4
17.08.19,30,19,25,,2,0,24.6
18.08.19,33,20,24,,3,,23.6
19.08.19,33,20,27,,3,0,25.9
20.08.19,30,18,24,,3,0,24.2
21.08.19,27,15,21,,3,0,21.0
22.08.19,27,15,22,,1,0,22.6
23.08.19,28,15,21,,3,0,20.6
24.08.19,24,11,18,,3,0,16.4
25.08.19,24,9,18,,5,0,15.1
26.08.19,20,10,15,,4,0,12.4
27.08.19,19,11,15,,3,,13.4
28.08.19,16,7,12,,8,,6.4
29.08.19,15,5,11,,7,0,5.1
30.08.19,15,4,10,,5,0,6.5
31.08.19,17,5,12,,4,0,8.5
01.09.19,17,6,12,,3,0,9.8
02.09.19,18,6,12,,2,0,10.7
03.09.19,18,8,14,,3,0,11.4
04.09.19,18,7,14,,3,0,11.5
05.09.19,21,6,14,,2,0,12.3
06.09.19,21,6,15,,1,0,14.0
07.09.19,21,7,14,,2,0,12.4
08.09.19,21,7,14,,2,0,12.6
09.09.19,23,9,17,,3,0,15.3
10.09.19,23,9,17,,3,0,14.7
11.09.19,22,8,15,,1,0,14.3
12.09.19,24,8,16,,1,0,15.3
13.09.19,26,10,18,,2,0,17.1
14.09.19,26,11,20,,4,0,17.3
15.09.19,16,7,13,,2,,11.3
16.09.19,15,8,11,,4,,8.6
17.09.19,20,8,14,,5,,10.8
18.09.19,17,8,13,,2,,11.0
19.09.19,14,7,10,,5,,5.9
20.09.19,13,6,9,,3,0,6.9
21.09.19,12,1,6,,2,,4.1
22.09.19,10,1,6,,4,,1.9
23.09.19,8,2,4,,5,,-0.3
24.09.19,8,2,5,,3,,1.7
25.09.19,8,3,6,,1,0,4.4
26.09.19,10,3,7,,2,0,4.2
27.09.19,13,1,8,,3,0,5.6
28.09.19,11,4,6,,3,2,3.3
29.09.19,8,3,6,,2,0,3.2
30.09.19,13,3,10,,5,0,5.5
01.10.19,15,9,12,,7,1,7.3
02.10.19,16,10,13,,5,0,9.7
03.10.19,19,8,13,,4,0,10.7
04.10.19,21,7,15,,5,0,11.6
05.10.19,22,10,17,,8,0,10.6
06.10.19,22,10,16,,5,0,11.4
07.10.19,22,4,12,,7,1,6.0
08.10.19,7,3,5,,2,2,1.9
09.10.19,6,1,4,,2,8,1.3
10.10.19,10,2,7,,4,1,3.6
11.10.19,12,6,9,,5,8,5.6
12.10.19,13,6,9,,2,8,7.8
13.10.19,11,5,9,,5,1,5.3
14.10.19,14,8,10,,3,0,7.9
15.10.19,18,5,11,,5,3,7.7
16.10.19,6,-1,3,,4,0,-0.6
17.10.19,11,1,7,,6,0,1.9
18.10.19,15,5,10,,5,0,6.6
19.10.19,10,2,6,,3,0,2.8
20.10.19,6,2,4,,2,0,1.1
21.10.19,12,4,9,,5,0,5.2
22.10.19,13,8,10,,3,2,8.3
23.10.19,13,7,11,,4,0,7.9
24.10.19,14,10,11,,1,0,10.7
25.10.19,14,4,10,,2,0,7.9
26.10.19,16,4,11,,5,0,7.7
27.10.19,11,10,11,,5,2,7.2
28.10.19,13,3,9,,5,0,5.4
29.10.19,8,-2,2,,2,0,-0.5
30.10.19,4,-4,0,,2,0,-3.1
31.10.19,0,-3,-2,,4,6,-6.1
01.11.19,-3,-7,-5,,4,0,-9.7
02.11.19,0,-7,-2,,6,0,-8.4
03.11.19,0,-6,-3,,3,0,-6.5
04.11.19,2,-3,1,,6,0,-5.0
05.11.19,8,0,5,,7,0,-0.5
06.11.19,9,5,8,,7,1,2.7
07.11.19,14,7,10,,6,0,5.8
08.11.19,8,0,3,,3,4,0.2
09.11.19,0,-2,-1,,4,8,-5.3
10.11.19,1,-2,0,,3,0,-3.5
11.11.19,1,-3,-1,,3,0,-4.1
12.11.19,6,-1,3,,3,0,-0.2
13.11.19,6,2,4,,4,1,0.5
14.11.19,2,0,0,,2,0,-2.5
15.11.19,1,-2,0,,3,0,-4.0
16.11.19,4,-2,1,,4,0,-3.5
17.11.19,1,-2,0,,3,0,-3.2
18.11.19,3,0,2,,2,0,-0.2
19.11.19,3,-13,-3,,5,0,-7.9
20.11.19,-10,-16,-14,,4,0,-19.2
21.11.19,-9,-17,-13,,2,0,-17.5
22.11.19,-4,-14,-9,,3,0,-13.3
23.11.19,-2,-12,-8,,3,0,-12.7
24.11.19,-4,-12,-9,,2,0,-12.9
25.11.19,-5,-13,-10,,1,0,-12.7
26.11.19,-4,-12,-9,,3,0,-13.2
27.11.19,-7,-10,-8,,4,0,-13.2
28.11.19,-3,-11,-7,,4,0,-12.2
29.11.19,-1,-11,-6,,4,0,-10.8
30.11.19,-3,-5,-4,,4,3,-8.9
01.12.19,-1,-6,-3,,3,2,-6.8
02.12.19,-1,-12,-6,,4,0,-11.1
03.12.19,-6,-10,-7,,4,0,-12.4
04.12.19,-5,-8,-7,,3,4,-11.4
05.12.19,0,-8,-3,,4,2,-7.4
06.12.19,2,-2,1,,5,1,-4.1
07.12.19,1,-2,-1,,5,0,-6.2
08.12.19,3,-2,1,,6,0,-4.2
09.12.19,1,-2,0,,4,0,-3.9
10.12.19,-1,-4,-2,,3,0,-6.0
11.12.19,1,-6,-2,,3,0,-5.4
12.12.19,-1,-11,-6,,3,0,-9.7
13.12.19,-7,-14,-12,,1,0,-14.9
14.12.19,-9,-15,-12,,3,0,-17.0
15.12.19,-5,-12,-7,,4,0,-12.0
16.12.19,-1,-5,-4,,5,4,-9.5
17.12.19,1,-4,0,,3,3,-3.6
18.12.19,1,-1,0,,2,0,-2.4
19.12.19,3,-1,1,,5,5,-3.6
20.12.19,1,-2,-2,,9,0,-9.4
21.12.19,-2,-8,-4,,5,0,-9.1
22.12.19,-3,-8,-5,,5,0,-10.6
23.12.19,-4,-8,-6,,6,0,-11.8
24.12.19,-6,-14,-9,,4,0,-14.3
25.12.19,-8,-15,-12,,3,0,-17.1
26.12.19,-7,-13,-10,,3,0,-14.4
27.12.19,-6,-12,-9,,2,0,-12.6
28.12.19,-6,-13,-9,,3,1,-13.0
29.12.19,-6,-15,-9,,4,0,-14.6
30.12.19,-7,-18,-11,,4,0,-16.5
31.12.19,-2,-9,-4,,7,10,-11.0
